Kontoform:,Allkonto,,Clearingnummer:,,,,,
Saldo:,"303,52",,,,,,,
,,,,,,,,
Period: 2022-01-01 till 2023-07-20  Transtyp: Alla  Belopp: Alla  Antal transaktioner: 10,,,,,,,,
,,,,,,,,
Reskontradatum,,Transaktionsdatum,,Text,,Belopp,,Saldo
7/3/2023,,7/3/2023,,HS 10365209,,"-3 176,00",,"303,52"
6/22/2023,,6/22/2023,,Spar,,"-250,00",,"3 479,52"
6/22/2023,,6/22/2023,,Stadshypoteket,,"3 500,00",,"3 729,52"
6/1/2023,,6/1/2023,,HS 10365209,,"-7 071,00",,"229,52"
5/25/2023,,5/25/2023,,LånLästmakarg,,"7 200,00",,"7 300,52"
5/11/2023,,5/11/2023,,Överf Mobil,,"-30,00",,"100,52"
5/2/2023,,5/2/2023,,HS 10365209,,"-12 385,00",,"130,52"
4/6/2023,,4/6/2023,,Stadshypoteket,,"12 500,00",,"12 515,52"
12/25/2022,,12/25/2022,,JulklappFrArne,,"-2 000,00",,"15,52"
12/18/2022,,12/18/2022,,Grattis Micke,,"2 000,00",,"2 015,52"
